,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000182541,2667.9454360956,3.44833461597387,0.103790917747795,33.2238570657319,4.87095437141194e-242,2.0450701928373e-237,LIMK2
ENSG00000141480,689.166483975857,3.99208252370642,0.134229203509019,29.7407897785685,2.28138218105439e-194,4.78919154357842e-190,ARRB2
ENSG00000189067,3635.75959722014,3.04784724200574,0.104703219805215,29.1093936526098,2.73026568847241e-186,3.82100683101714e-182,LITAF
ENSG00000147454,2632.22483459686,3.42965480166004,0.118050694514459,29.0523898717087,1.43546693676636e-185,1.50670198350339e-181,SLC25A37
ENSG00000105835,28976.2509661846,4.19592435652607,0.144967221986933,28.9439522880855,3.34386499373102e-184,2.80784343523594e-180,NAMPT
ENSG00000241839,626.615527152943,3.84434502603343,0.135174749069789,28.4398162562791,6.51272623360625e-178,4.55728018196597e-174,PLEKHO2
ENSG00000116679,5120.2277467124,3.36699041066283,0.119993189848919,28.05984585377,3.02935406804182e-173,1.8169632935248e-169,IVNS1ABP
ENSG00000113916,2976.34621593272,3.23184006652265,0.116541461228715,27.7312471668782,2.93350707667881e-169,1.5395411826795e-165,BCL6
ENSG00000188404,2068.98252172156,4.8480576279298,0.176228546356178,27.5100585471058,1.33083256894262e-166,6.20833393411731e-163,SELL
ENSG00000132510,3211.07173293486,3.89344084087282,0.14154935457946,27.5058890408942,1.4927955679039e-166,6.26750219184451e-163,KDM6B
ENSG00000146112,1248.2479262643,4.29048740299643,0.156294231983627,27.4513483226041,6.69481805478774e-166,2.55529032754785e-162,PPP1R18
ENSG00000089351,1103.6018445633,3.98490310681107,0.14753213681602,27.0104073106488,1.11536724166234e-160,3.9023911367661e-157,GRAMD1A
ENSG00000119535,5690.77270695212,5.40055527985113,0.200353467117973,26.9551376252009,4.96570760895211e-160,1.60373256893734e-156,CSF3R
ENSG00000162511,1079.17024121436,4.15074473517419,0.154812388399903,26.8114508023233,2.376172297097e-158,7.12597099240126e-155,LAPTM5
ENSG00000105339,1555.24157246745,3.80509598822834,0.143476063849137,26.5207720796505,5.58384265350332e-155,1.56291755871558e-151,DENND3
ENSG00000113368,1603.60188273318,4.97141834093636,0.190949471719262,26.0352557992171,1.97623544009423e-149,5.18576530952226e-146,LMNB1
ENSG00000170525,4166.69430120371,3.44131026654163,0.13334439007912,25.8076868813132,7.26957639582219e-147,1.79537155869762e-143,PFKFB3
ENSG00000135842,2762.27522097082,4.25595691740072,0.166232346206919,25.6024595363835,1.43230731272345e-144,3.34085680692745e-141,NIBAN1
ENSG00000105639,826.098879416612,4.45303705624193,0.174742586604418,25.4834104425998,3.01081676790701e-143,6.6531127368724e-140,JAK3
ENSG00000101336,1497.40380831256,5.32802679357695,0.210070307491696,25.3630646672309,6.44899755805589e-142,1.35380581237488e-138,HCK
ENSG00000125538,7141.80238611973,5.65846942635917,0.308438278826942,18.3455485741898,3.58291933714386e-75,5.55088075165996e-73,IL1B
